taxon,rbcL,matK,ITS,trnL-trnF,
Carex frankii,KJ773346.1,KJ772613.1,,,
Carex garberi,KC482272.1,KC474320.1,JN999037.1,,
Carex gracilescens,,,,,
Carex gracillima,KJ593272.1,KJ592879.1,DQ998918.1,AF284952.1,
Carex granularis,HQ589995.1,,DQ998919.1,DQ998972.1,
Carex gravida,,,EU001018.1,,
Carex grayi,,,AY757580.1,AY757507.1,
Carex grisea,,FJ597215.1,,,
Carex haydenii,,,AY779106.1,,
Carex hirsutella,,,,,
Carex hirtifolia,HQ589996.1,,AY757611.1,AY757538.1,
Carex hitchcockiana,,FJ597219.1,AY757614.1,AY757541.1,
Carex hystericina,HQ589998.1,HQ593207.1,AY757574.1,AY757501.1,
Carex interior,HQ589999.1,HQ593209.1,AY757419.1,AY757476.1,
Carex intumescens,KJ773351.1,KJ772617.1,KF977436.1,AY757506.1,
Carex jamesii,,FJ597225.1,AF027465.1,,
Carex lacustris,,,,,
Carex laeviconica,,,,,
Carex laevivaginata,,,AY757420.1,AY757470.1,
Carex lasiocarpa,JX644625.1,JN895750.1,AY278297.1,AF284929.1,
Carex laxiculmis,,,,,
Carex laxiflora,HQ590002.1,HQ593210.1,AF284964.1,AF284862.1,
Carex leptalea,KJ773353.1,KJ772619.1,AF285060.1,AF284958.1,
Carex leptonervia,KJ593276.1,KJ592880.1,,,
Carex limosa,JX644630.1,JN896254.1,AY278298.1,AF284899.1,
Carex longii,KJ773354.1,KJ772620.1,JN903145.1,JQ653156.1,
Carex lupuliformis,KJ773355.1,KJ772621.1,,,
Carex lupulina,KJ773356.1,KJ772622.1,AY757576.1,AF284861.1,
Carex lurida,KJ773357.1,KJ772623.1,AF284962.1,AF284860.1,
Carex meadii,,,,,
Carex molesta,,,AY779122.1,,
Carex muehlenbergii,,,AY757422.1,AY757467.1,
Carex muskingumensis,,,AY779126.1,,
Carex nigromarginata,,,AY325478.1,,
Carex normalis,,,AY779127.1,,
Carex oligocarpa,DQ006090.1,FJ597237.1,DQ006001.1,AY757542.1,
Carex oligosperma,,,AY757578.1,AY757505.1,
Carex pallescens,KJ841191.1,JN896250.1,AY278299.1,AF284895.1,
Carex pauciflora,GQ469850.1,JN896248.1,AY757631.1,AF284881.1,
Carex peckii,KJ841192.1,,DQ998940.1,DQ998993.1,
Carex pedunculata,HQ590005.1,HQ593213.1,AY757623.1,AF284867.1,
Carex pellita,,,,,
Carex pensylvanica,HQ590007.1,HQ593215.1,AY757622.1,AF284875.1,
Carex plantaginea,HQ590008.1,,AY757613.1,AY757540.1,
Carex platyphylla,KJ841198.1,KJ840885.1,,,
Carex prairea,,,DQ115252.1,,
Carex prasina,KJ841199.1,,AF285043.1,AF284941.1,
Carex projecta,KF977472.1,,KF977437.1,AY757487.1,
Carex pseudocyperus,KJ841201.1,JN894711.1,EU352234.1,,
Carex radiata,KJ841204.1,KJ840886.1,AY757424.1,AY757492.1,
Carex retrorsa,HQ590010.1,HQ593216.1,AY757577.1,AY757504.1,
Carex richardsonii,,,,,
Carex rosea,HQ590012.1,,AY757425.1,AY757491.1,
Carex rugosperma,KJ841211.1,KJ840887.1,AF284978.1,AF284876.1,
Carex sartwellii,,,DQ115266.1,,
Carex scabrata,HQ590013.1,HQ593217.1,AY757585.1,AY757512.1,
Carex scoparia,,,AY779156.1,,
Carex seorsa,,,DQ115270.1,,
Carex shortiana,,,DQ115272.1,AY757513.1,
Carex siccata,JX848454.1,KP273705.1,EU001064.1,,
Carex sparganioides,HQ590014.1,HQ593218.1,EU001069.1,DQ999000.1,
Carex sprengelii,HQ590015.1,,,,
Carex squarrosa,,KP273707.1,AY757587.1,AY757514.1,
Carex sterilis,,,DQ115286.1,,
Carex stipata,KJ773358.1,KJ513593.1,AY757426.1,AY757471.1,
Carex straminea,,,AY779163.1,,
Carex stricta,,,GQ223638.1,,
Carex suberecta,,,AY779166.1,,
Carex swanii,,,AY757603.1,AY757530.1,
Carex tenera,KJ841210.1,,AY779171.1,,
Carex tenuiflora,JX644649.1,,AY757427.1,AY757482.1,
Carex tetanica,,,,,
Carex tonsa,KJ841211.1,KJ840887.1,AF284978.1,AF284876.1,
Carex torreyi,,,AF285051.1,AF284949.1,
Carex torta,,,AF285021.1,AF284919.1,
Carex tribuloides,KJ841214.1,,AY757428.1,AY757486.1,
Carex trichocarpa,,,AY757570.1,AY757497.1,
Carex trisperma,KJ841215.1,KJ840888.1,AY757429.1,AY757483.1,
Carex tuckermanii,,,AY757573.1,AY757500.1,
Carex typhina,,,AF285032.1,AF284930.1,
Carex utriculata,KJ841217.1,JN966210.1,JN999091.1,,
Carex vesicaria,KJ841218.1,JN314531.1,AY278289.1,,
Carex virescens,,,AY757606.1,AY757533.1,
Carex viridula,HM849865.1,JN896091.1,AY278308.1,AY757524.1,
Carex vulpinoidea,HQ590018.1,KP273710.1,AY757430.1,AF284866.1,
Carex woodii,KJ593288.1,KJ592882.1,,,
Carex x,,,,,
Carpinus caroliniana,X56621.1,AY212016.1,FJ011710.1,AY211399.1,
Carya cordiformis,AF303766.1,HQ593223.1,AF303820.1,AF303793.1,
Carya laciniosa,KF418859.1,,KF201308.1,KF419060.1,
Carya ovalis,AF119186.1,KJ772636.1,AF174618.1,AF303796.1,
Carya ovata,AY263931.1,U92850.1,AF174620.1,AY147074.1,
Carya tomentosa,AF303770.1,AF118039.1,EU646134.1,KF201502.1,
Castilleja coccinea,,JX091314.1,KC480308.1,,
Castilleja sessiliflora,,JX091316.1,KC480317.1,,
Caulophyllum thalictroides,AF190442.1,AB069831.1,L77158.1,FJ626552.1,
Ceanothus americanus,KC539681.1,AF049797.1,HQ325310.1,KC539715.1,
Ceanothus herbaceus,,,HQ325325.1,,
Celastrus scandens,AY788195.1,FJ670050.1,EU328761.1,JQ424300.1,
Celtis occidentalis,KC539683.1,AY257535.1,DQ499147.1,KC539717.1,
Celtis tenuifolia,,,,,
Cenchrus longispinus,,,,,
Cephalanthus occidentalis,X83629.1,AY538377.1,AY205363.1,AF152692.1,
Cerastium nutans,,,,AY521387.1,
Cerastium velutinum,,,,AY521360.1,
Ceratophyllum demersum,AB917052.1,AF543732.1,KM582605.1,AY145335.1,
Ceratophyllum echinatum,,KM582621.1,EF526409.1,,
Cercis canadensis,U74188.1,EU361912.1,JQ425129.1,AF430768.1,
Chaerophyllum procumbens,DQ829734.1,,KJ956551.1,,
Chamaecrista fasciculata,U74187.1,AY386955.1,EF590760.1,,
Chamaecrista nictitans,AM234248.1,EU361914.1,FJ009855.1,FJ009906.1,
Chamaedaphne calyculata,L12606.2,AF015630.1,AF358873.1,JF801634.1,
Chamaesyce maculata,JN249345.1,EU659800.1,HQ645294.1,JN249677.1,
Chamaesyce nutans,HM849991.1,HQ645765.1,HQ645309.1,HQ645615.1,
Chamaesyce polygonifolia,,,,,
Chamerion angustifolium,KM360765.1,JN894188.1,JF976297.1,AY264505.1,
Chasmanthium latifolium,U31101.1,HE573997.1,DQ006028.1,DQ172304.1,
Chelone glabra,HQ384895.1,HQ384535.1,HQ652976.1,HQ412949.1,
Chenopodium leptophyllum,,,KP226651.1,HE577566.1,
Chenopodium simplex,HQ590032.1,HQ593233.1,,,
Chenopodium standleyanum,,,KJ629051.1,HE577603.1,
Chimaphila maculata,FJ357269.1,AF440414.1,AY294625.1,FJ357283.1,
Chimaphila umbellata,AF419818.1,AF440416.1,KC526986.1,FJ357285.1,
Chrysopsis camporum,,,,,
Chrysosplenium americanum,HQ590034.1,AF297636.1,,,
Cicuta bulbifera,KJ841237.1,,AY524715.1,,
Cicuta maculata,KJ773386.1,KJ772659.1,AY524762.1,,
Cimicifuga racemosa,,JQ033484.1,JQ033561.1,AB987695.1,
Cinna arundinacea,,,EU792343.1,EU792436.1,
Circaea alpina,L10216.1,KJ592899.1,GQ232501.1,GQ232690.1,
Circaea canadensis,KJ593310.1,KJ592900.1,AY357770.1,GQ232697.1,
Cirsium altissimum,,,KC603907.1,,
Cirsium discolor,GU817749.1,GU817442.1,AF443692.1,GU817988.1,
Cirsium muticum,,,JX867633.1,,
Cirsium pitcheri,,,JX867634.1,,
Cirsium pumilum,,,JX867632.1,,
Cladium mariscoides,,,,,
Claytonia virginica,,AY764113.1,AY764067.1,,
Clematis pitcheri,GU732536.1,,GU732617.1,,
Clematis virginiana,GU732559.1,HQ593242.1,GU732640.1,,
Clinopodium arkansanum,,,JQ669080.1,JF301362.1,
Clinopodium vulgare,KM360725.1,AY840153.1,DQ667324.1,DQ667513.1,
