taxon,rbcL,matK,ITS,trnL-trnF
Bromus inermis,JX848491.1,HF558526.1,KF713194.1,AY829228.1
Bromus kalmii,,,AY367916.1,
Bromus latiglumis,,,AY367920.1,
Bromus marginatus,,,AY367921.1,
Bromus pubescens,,,AY367927.1,
Bromus racemosus,JN892639.1,JN895847.1,KM077299.1,
Bromus secalinus,JN892641.1,AM234571.1,KM077304.1,AB732927.1
Bromus squarrosus,,KJ529320.1,KM077303.1,EU036173.1
Bromus sterilis,KM360634.1,,KM077296.1,EU036167.1
Bromus tectorum,KF712974.1,KM040733.1,KF713207.1,KF600709.1
Brunnera macrophylla,,,GQ285223.1,GQ285247.1
Buchloe dactyloides,FR821337.1,FR821320.1,,
Buchnera americana,KJ773321.1,KC542150.1,KC480306.1,
Buglossoides arvense,HM849830.1,KF287785.1,FJ763192.1,FJ763256.1
Bulbostylis capillaris,,,,
Butomus umbellatus,KM360683.1,AY952416.1,JF780965.1,DQ786413.1
Cakile edentula,HM849832.1,JN584957.1,KJ685080.1,
Calamagrostis canadensis,KC482155.1,DQ786896.1,FJ377632.1,FJ394566.1
Calamagrostis stricta,KC482182.1,KC474256.1,FJ377658.1,
Calamovilfa longifolia,JX848493.1,,GU359300.1,EF156677.1
Calibrachoa parviflora,,EF438982.1,DQ208030.1,EU580968.1
Calla palustris,AM905819.1,HQ687765.1,,AY555174.1
Callirhoe alcaeoides,,,,
Callirhoe digitata,,,AJ304936.1,
Callirhoe involucrata,,JF799575.1,AY591819.1,
Callirhoe triangulata,,,,
Callitriche heterophylla,L11681.1,,,
Callitriche palustris,,,,
Calopogon oklahomensis,,,AF273354.1,AF519913.1
Calopogon tuberosus,AF074119.1,AF263635.1,AF273395.1,
Caltha palustris,KM360689.1,JN895556.1,KF233853.1,FJ626540.1
Calylophus serrulatus,,,,
Calyptocarpus vialis,AY215090.1,AY215770.1,AY303405.1,AY216149.1
Calystegia hederacea,KJ395590.1,,JQ062468.1,
Calystegia sepium,AY100992.1,,KC528909.1,AY101101.1
Calystegia spithamaea,,,KC528913.1,
Camassia scilloides,JQ273890.1,JQ276385.1,KP008322.1,KP008178.1
Camelina microcarpa,JN847825.1,DQ406760.1,DQ310531.1,
Camelina sativa,,GQ424578.1,KJ623504.1,KJ623424.1
Campanula aparinoides,EU643728.1,,,EF088702.1
Campanula rapunculoides,FJ587271.1,EU713285.1,HQ823434.1,EF213152.1
Campanula rotundifolia,EU713443.1,JN571959.1,DQ304615.1,EF213153.1
Campanulastrum americanum,EU713419.1,EU713312.1,,GQ254928.1
Campsis radicans,AF156737.1,AF531775.1,DQ515201.1,FJ870022.1
Cannabis sativa,AF500344.1,AF345317.1,FJ572045.1,AF501598.1
Capsella bursa-pastoris,KM360691.1,KF923122.1,KJ623531.1,DQ310514.1
Cardamine bulbosa,,,EU819316.1,EU819242.1
Cardamine concatenata,DQ006075.1,KJ592878.1,JQ901414.1,FJ464543.1
Cardamine diphylla,HQ589983.1,,EU819331.1,EU819249.1
Cardamine douglassii,,,EU819332.1,EU819247.1
Cardamine hirsuta,HM849847.1,HQ619803.1,KM875624.1,KF849829.1
Cardamine impatiens,JN847832.1,JF953420.1,AM905720.1,
